epoch,test_acc
1,15.450
2,18.100
3,16.570
4,15.000
5,15.690
6,16.860
7,16.550
8,15.220
9,17.690
10,15.000
11,16.060
12,16.750
13,14.840
14,16.640
15,16.390
16,15.590
17,15.840
18,17.140
19,17.420
20,16.580
21,16.400
22,15.380
23,16.620
24,16.440
25,16.600
26,17.230
27,15.580
28,16.870
29,16.400
30,17.530
