epoch,test_acc
1,29.450
2,31.010
3,32.030
4,32.020
5,32.350
6,33.170
7,33.390
8,31.990
9,33.060
10,33.470
11,33.450
12,33.200
13,33.800
14,33.600
15,34.430
16,35.310
17,34.440
18,35.720
19,35.400
20,33.850
21,34.950
22,34.960
23,34.430
24,33.880
25,35.200
26,34.340
27,34.700
28,34.510
29,34.580
30,35.500
