epoch,test_acc
1,19.920
2,20.520
3,21.410
4,21.160
5,22.410
6,21.860
7,22.470
8,21.450
9,22.810
10,22.350
11,22.470
12,22.910
13,22.210
14,22.800
15,22.520
16,22.920
17,22.820
18,21.560
19,22.710
20,22.680
21,22.880
22,22.140
23,22.670
24,21.700
25,23.020
26,22.970
27,22.050
28,22.800
29,21.930
30,22.950
