epoch,test_acc,l1_size,l1_fire
1,14.180,0.0,0.0000
2,13.530,0.0,0.0000
3,13.940,0.0,0.0000
4,13.730,0.0,0.0000
5,14.220,0.0,0.0000
6,14.720,0.0,0.0000
7,13.470,0.0,0.0000
8,14.510,0.0,0.0000
9,14.790,0.0,0.0000
10,12.810,0.0,0.0000
11,15.580,55.0,15.5508
12,13.560,56.0,15.4643
13,12.030,56.0,15.5957
14,13.030,56.0,15.5260
15,11.830,56.0,15.5508
16,14.980,56.0,15.5957
17,13.960,56.0,15.6237
18,13.830,56.0,15.5821
19,14.060,56.0,15.5054
20,13.130,56.0,15.5768
21,14.010,57.0,15.5768
22,11.890,57.0,15.5543
23,13.350,57.0,15.5543
24,12.730,57.0,15.5222
25,14.420,57.0,15.5957
26,14.470,57.0,15.5543
27,14.470,57.0,15.5508
28,13.850,57.0,15.5222
29,13.710,57.0,15.5222
30,13.100,57.0,15.5222
