target,acc,sd,fire_pooled,fire_raw,size,in_band,rounds
0.5,15.55,0.27,0.51,0.27,81,1.00,15
1.0,16.66,0.89,0.97,0.55,77,0.99,20
2.0,15.94,0.70,1.87,1.08,72,0.99,27
5.0,20.30,2.24,4.67,2.71,65,1.00,48
10.0,21.91,2.70,8.90,5.45,60,1.00,56
20.0,24.46,0.94,15.66,10.53,55,1.00,65
