epoch,test_acc
1,14.960
2,14.140
3,15.690
4,15.290
5,14.740
6,15.290
7,15.090
8,15.070
9,14.090
10,14.460
11,14.570
12,15.240
13,15.280
14,14.830
15,14.730
16,15.100
17,14.810
18,15.120
19,14.760
20,13.890
21,15.350
22,14.560
23,15.230
24,13.260
25,14.610
26,14.970
27,14.370
28,15.250
29,13.980
30,14.170
