epoch,test_acc
1,34.050
2,33.060
3,34.240
4,35.270
5,35.210
6,35.760
7,34.640
8,34.030
9,35.130
10,35.370
11,34.730
12,34.820
13,33.570
14,34.930
15,35.180
16,34.570
17,34.520
18,34.770
19,33.820
20,33.840
21,34.120
22,34.370
23,33.760
24,33.160
25,33.100
26,33.740
27,33.510
28,33.640
29,33.950
30,32.970
