arm,label,acc,sd,final,rate,warmup,ev_i,ev_ib,ev_ii,l1_size,l1_fire,warm_acc
mctm-credit-ia,C: credit / Type Ia+II only,19.18,2.18,17.22,1.0,0,319,0,336,251,0.000,0.00
mctm-credit-ib,C: credit / + blaming Type Ib,14.53,6.41,10.00,1.0,0,87\,287,106\,799\,513,78\,614,0,0.000,0.00
mctm-credit-bal,C: credit / + Ib balanced,18.12,0.03,15.98,1.0,0,427,427,400,207,0.000,0.00
mctm-credit-warm,C: warm start (no controller),14.65,0.48,12.69,1.0,10,0,0,0,85,0.144,12.81
mctm-credit-cal-p1,B+C: controller / step 1.0,15.87,0.41,13.44,1.0,10,984,984,949,57,15.522,12.81
mctm-credit-cal,B+C: controller / step 0.1,15.76,1.34,13.80,0.1,10,497,471,437,55,15.551,12.42
mctm-credit-cal-p001,B+C: controller / step 0.01,18.60,0.00,13.70,0.01,10,324,159,306,55,15.596,12.81
mctm-auto-credit,A+B+C: all three,19.51,0.00,14.98,0.1,10,44,44,34,48,18.317,19.51
