epoch,test_acc
1,33.370
2,34.850
3,37.030
4,37.460
5,37.700
6,38.940
7,38.460
8,39.420
9,38.450
10,39.420
11,38.730
12,39.870
13,40.310
14,39.670
15,39.850
16,40.260
17,40.050
18,40.410
19,41.050
20,39.880
21,39.800
22,40.050
23,40.410
24,40.600
25,40.880
26,40.470
27,40.540
28,40.490
29,40.740
30,40.910
