epoch,test_acc
1,30.780
2,31.730
3,32.200
4,33.840
5,33.720
6,34.210
7,33.790
8,33.790
9,35.490
10,35.160
11,34.290
12,35.300
13,35.570
14,35.460
15,35.450
16,34.930
17,35.460
18,36.560
19,35.630
20,36.260
21,35.650
22,37.020
23,36.790
24,36.140
25,37.280
26,36.720
27,36.920
28,35.790
29,36.340
30,37.160
