epoch,test_acc
1,12.500
2,12.330
3,12.870
4,13.390
5,12.280
6,12.040
7,12.130
8,13.050
9,12.600
10,11.490
11,13.670
12,12.210
13,12.790
14,12.770
15,12.970
16,12.610
17,12.710
18,12.810
19,14.000
20,13.300
21,12.430
22,12.580
23,12.400
24,12.240
25,12.600
26,13.550
27,12.740
28,13.220
29,13.030
30,12.900
