label,acc,sd,seeds
single layer,56.98,11.36,3
flat stack / greedy L1,61.98,9.91,3
MCTM / greedy L1,64.78,1.05,3
flat stack / oracle L1 (2 ch),98.17,0.13,3
MCTM / oracle L1 (2 ch),87.30,1.01,3
flat stack / oracle L1 (64 ch),99.37,0.03,3
MCTM / oracle L1 (64 ch),78.48,1.37,3
